wec_cost,power_lim,diameter,omega_n,zeta,electrification,carbon_constraint,year,system_cost,carbon,system_capacity,wave_capacity,solar_capacity,onshore_wind_capacity,offshore_wind_capacity,battery_capacity,fossil_capacity,solar_costs,onshore_wind_costs,offshore_wind_costs,battery_costs,fossil_costs,fossil_energy,wave_energy
5000.0,400.0,20.0,0.6,0.05,ref,med,2030,2889863123.9016743,12320130.362388818,49308.44525861086,0.0,14284.350750901413,7273.563212248333,0.0,482.1534853971329,0.0,[      0.    1128557.212],[      0.    2494105.867],[      0.    4005241.781],[     0.    198241.255],[      0.     960907.391 1047739.592 2576894.437],20934903.34267666,0.0
1000.0,400.0,20.0,0.7,0.05,ref,med,2030,2889863123.901675,12320130.362388812,49308.44525861087,0.0,14284.350750901416,7273.563212248346,0.0,482.15348539714523,0.0,[      0.    1128557.212],[      0.    2494105.867],[      0.    4005241.781],[     0.    198241.255],[      0.     960907.391 1047739.592 2576894.437],20934903.34267664,0.0
3000.0,400.0,20.0,0.7,0.05,ref,med,2030,2889863123.901678,12320130.362388805,49308.44525861088,0.0,14284.350750901416,7273.563212248348,0.0,482.1534853971489,0.0,[      0.    1128557.212],[      0.    2494105.867],[      0.    4005241.781],[     0.    198241.255],[      0.     960907.391 1047739.592 2576894.437],20934903.342676625,0.0
5000.0,400.0,20.0,0.7,0.05,ref,med,2030,2889863123.9016743,12320130.36238882,49308.44525861087,0.0,14284.350750901413,7273.563212248331,0.0,482.1534853971291,0.0,[      0.    1128557.212],[      0.    2494105.867],[      0.    4005241.781],[     0.    198241.255],[      0.     960907.391 1047739.592 2576894.437],20934903.34267666,0.0
1000.0,400.0,20.0,0.5,0.15,ref,med,2030,2889863123.90168,12320130.362388829,49308.44525861088,0.0,14284.35075090142,7273.563212248355,0.0,482.15348539716217,0.0,[      0.    1128557.212],[      0.    2494105.867],[      0.    4005241.781],[     0.    198241.255],[      0.     960907.391 1047739.592 2576894.437],20934903.342676684,0.0
3000.0,400.0,20.0,0.5,0.15,ref,med,2030,2889863123.901681,12320130.362388805,49308.44525861089,0.0,14284.350750901423,7273.563212248362,0.0,482.1534853971672,0.0,[      0.    1128557.212],[      0.    2494105.867],[      0.    4005241.781],[     0.    198241.255],[      0.     960907.391 1047739.592 2576894.437],20934903.342676625,0.0
5000.0,400.0,20.0,0.5,0.15,ref,med,2030,2889863123.901672,12320130.362388805,49308.44525861089,0.0,14284.350750901423,7273.563212248357,0.0,482.15348539716626,0.0,[      0.    1128557.212],[      0.    2494105.867],[      0.    4005241.781],[     0.    198241.255],[      0.     960907.391 1047739.592 2576894.437],20934903.342676625,0.0
1000.0,400.0,20.0,0.6,0.15,ref,med,2030,2889863123.9016786,12320130.362388818,49308.44525861088,0.0,14284.350750901416,7273.563212248344,0.0,482.15348539714637,0.0,[      0.    1128557.212],[      0.    2494105.867],[      0.    4005241.781],[     0.    198241.255],[      0.     960907.391 1047739.592 2576894.437],20934903.34267666,0.0
3000.0,400.0,20.0,0.6,0.15,ref,med,2030,2889863123.901676,12320130.36238881,49308.44525861088,0.0,14284.35075090142,7273.563212248346,0.0,482.1534853971491,0.0,[      0.    1128557.212],[      0.    2494105.867],[      0.    4005241.781],[     0.    198241.255],[      0.     960907.391 1047739.592 2576894.437],20934903.34267664,0.0
5000.0,400.0,20.0,0.6,0.15,ref,med,2030,2889863123.9016743,12320130.362388851,49308.44525861088,0.0,14284.35075090142,7273.563212248355,0.0,482.1534853971606,0.0,[      0.    1128557.212],[      0.    2494105.867],[      0.    4005241.781],[     0.    198241.255],[      0.     960907.391 1047739.592 2576894.437],20934903.342676662,0.0
1000.0,400.0,20.0,0.7,0.15,ref,med,2030,2889863123.9016714,12320130.362388814,49308.44525861087,0.0,14284.350750901413,7273.563212248337,0.0,482.15348539713807,0.0,[      0.    1128557.212],[      0.    2494105.867],[      0.    4005241.781],[     0.    198241.255],[      0.     960907.391 1047739.592 2576894.437],20934903.34267665,0.0
3000.0,400.0,20.0,0.7,0.15,ref,med,2030,2889863123.901676,12320130.362388805,49308.44525861089,0.0,14284.350750901423,7273.5632122483585,0.0,482.1534853971658,0.0,[      0.    1128557.212],[      0.    2494105.867],[      0.    4005241.781],[     0.    198241.255],[      0.     960907.391 1047739.592 2576894.437],20934903.342676625,0.0
5000.0,400.0,20.0,0.7,0.15,ref,med,2030,2889863123.9016776,12320130.362388806,49308.4452586109,0.0,14284.350750901423,7273.563212248357,0.0,482.15348539716194,0.0,[      0.    1128557.212],[      0.    2494105.867],[      0.    4005241.781],[     0.    198241.255],[      0.     960907.391 1047739.592 2576894.437],20934903.342676632,0.0
1000.0,400.0,20.0,0.5,0.25,ref,med,2030,2889863123.9016795,12320130.36238882,49308.44525861088,0.0,14284.350750901416,7273.563212248342,0.0,482.15348539714535,0.0,[      0.    1128557.212],[      0.    2494105.867],[      0.    4005241.781],[     0.    198241.255],[      0.     960907.391 1047739.592 2576894.437],20934903.34267667,0.0
3000.0,400.0,20.0,0.5,0.25,ref,med,2030,2889863123.9016786,12320130.362388816,49308.4452586109,0.0,14284.350750901427,7273.563212248371,0.0,482.1534853971837,0.0,[      0.    1128557.212],[      0.    2494105.867],[      0.    4005241.781],[     0.    198241.255],[      0.     960907.391 1047739.592 2576894.437],20934903.34267665,0.0
