gen	time	cMinPowerThermal	cMaxPowerThermal	cRampUpThermal	cRampDownThermal
27	149	0.0	0.0	0.0	0.0
10	150	0.0	0.0	0.0	0.0
15	150	0.0	0.0	0.0	0.0
17	150	0.0	0.0	0.0	0.0
19	150	0.0	0.0	0.0	0.0
24	151	0.0	0.0	0.0	0.0
27	151	0.0	0.0	0.0	0.0
10	152	0.0	0.0	0.0	0.0
15	152	0.0	0.0	0.0	0.0
17	152	0.0	0.0	0.0	0.0
10	153	0.0	0.0	0.0	0.0
15	153	0.0	0.0	0.0	0.0
17	153	0.0	0.0	0.0	0.0
17	154	0.0	0.0	0.0	0.0
7	155	0.0	0.0	0.0	0.0
10	155	-0.0	0.0	0.0	0.0
15	155	0.0	0.0	0.0	0.0
17	155	0.0	0.0	0.0	0.0
25	155	0.0	0.0	0.0	0.0
10	156	0.0	0.0	0.0	0.0
15	156	0.0	0.0	0.0	0.0
17	156	0.0	0.0	0.0	0.0
23	157	0.0	0.0	0.0	0.0
10	158	0.0	0.0	0.0	0.0
15	158	0.0	0.0	0.0	0.0
17	158	0.0	0.0	0.0	0.0
10	159	-0.0	0.0	0.0	0.0
15	159	0.0	0.0	0.0	0.0
17	159	0.0	0.0	0.0	0.0
19	159	0.0	0.0	0.0	0.0
24	159	0.0	0.0	0.0	0.0
10	160	0.0	0.0	0.0	0.0
15	160	0.0	0.0	0.0	0.0
17	160	0.0	0.0	0.0	0.0
21	160	0.0	0.0	0.0	0.0
25	160	0.0	0.0	0.0	0.0
27	160	0.0	0.0	0.0	0.0
10	161	0.0	0.0	0.0	0.0
15	161	0.0	0.0	0.0	0.0
17	161	0.0	0.0	0.0	0.0
19	161	0.0	0.0	0.0	0.0
10	162	0.0	0.0	0.0	0.0
15	162	0.0	0.0	0.0	0.0
17	162	0.0	0.0	0.0	0.0
23	162	0.0	0.0	0.0	0.0
10	163	0.0	0.0	0.0	0.0
15	163	0.0	0.0	0.0	0.0
17	163	0.0	0.0	0.0	0.0
15	164	0.0	0.0	0.0	0.0
17	164	0.0	0.0	0.0	0.0
19	164	0.0	0.0	0.0	0.0
25	164	0.0	0.0	0.0	0.0
10	165	-0.0	0.0	0.0	0.0
15	165	-0.0	0.0	0.0	0.0
17	165	0.0	0.0	0.0	0.0
22	165	0.0	0.0	0.0	0.0
5	166	0.0	0.0	0.0	0.0
10	166	-0.0	0.0	0.0	0.0
15	166	0.0	0.0	0.0	0.0
17	166	0.0	0.0	0.0	0.0
8	167	0.0	0.0	0.0	0.0
13	167	0.0	0.0	0.0	0.0
17	167	0.0	0.0	0.0	0.0
22	167	0.0	0.0	0.0	0.0
13	168	0.0	0.0	0.0	0.0
17	168	0.0	0.0	0.0	0.0
19	168	0.0	0.0	0.0	0.0
17	169	0.0	0.0	0.0	0.0
22	169	0.0	0.0	0.0	0.0
17	170	0.0	0.0	0.0	0.0
4	171	0.0	0.0	0.0	0.0
17	171	0.0	0.0	0.0	0.0
19	171	0.0	0.0	0.0	0.0
4	172	0.0	0.0	0.0	0.0
17	172	0.0	0.0	0.0	0.0
22	172	0.0	0.0	0.0	0.0
25	172	0.0	0.0	0.0	0.0
4	173	-0.0	0.0	0.0	0.0
17	173	0.0	0.0	0.0	0.0
4	174	0.0	0.0	0.0	0.0
17	174	0.0	0.0	0.0	0.0
17	175	0.0	0.0	0.0	0.0
19	175	0.0	0.0	0.0	0.0
22	175	0.0	0.0	0.0	0.0
25	175	0.0	0.0	0.0	0.0
13	176	0.0	0.0	0.0	0.0
17	176	0.0	0.0	0.0	0.0
17	177	0.0	0.0	0.0	0.0
19	177	0.0	0.0	0.0	0.0
22	177	0.0	0.0	0.0	0.0
25	177	0.0	0.0	0.0	0.0
13	178	0.0	0.0	0.0	0.0
17	178	0.0	0.0	0.0	0.0
13	179	0.0	0.0	0.0	0.0
17	179	0.0	0.0	0.0	0.0
13	180	0.0	0.0	0.0	0.0
17	180	0.0	0.0	0.0	0.0
13	181	0.0	0.0	0.0	0.0
17	181	0.0	0.0	0.0	0.0
25	181	0.0	0.0	0.0	0.0
8	182	0.0	0.0	0.0	0.0
13	182	0.0	0.0	0.0	0.0
17	182	0.0	0.0	0.0	0.0
17	183	0.0	0.0	0.0	0.0
19	183	0.0	0.0	0.0	0.0
22	183	0.0	0.0	0.0	0.0
25	183	0.0	0.0	0.0	0.0
17	184	0.0	0.0	0.0	0.0
17	185	0.0	0.0	0.0	0.0
19	185	0.0	0.0	0.0	0.0
25	185	0.0	0.0	0.0	0.0
17	186	0.0	0.0	0.0	0.0
5	187	0.0	0.0	0.0	0.0
17	187	0.0	0.0	0.0	0.0
22	187	0.0	0.0	0.0	0.0
25	187	0.0	0.0	0.0	0.0
17	188	0.0	0.0	0.0	0.0
17	189	0.0	0.0	0.0	0.0
19	189	0.0	0.0	0.0	0.0
25	189	0.0	0.0	0.0	0.0
17	190	0.0	0.0	0.0	0.0
17	191	0.0	0.0	0.0	0.0
8	192	0.0	0.0	0.0	0.0
13	192	0.0	0.0	0.0	0.0
17	192	0.0	0.0	0.0	0.0
19	192	0.0	0.0	0.0	0.0
22	192	0.0	0.0	0.0	0.0
17	193	0.0	0.0	0.0	0.0
25	193	0.0	0.0	0.0	0.0
17	194	0.0	0.0	0.0	0.0
20	194	0.0	0.0	0.0	0.0
17	195	0.0	0.0	0.0	0.0
19	195	0.0	0.0	0.0	0.0
23	195	0.0	0.0	0.0	0.0
26	195	0.0	0.0	0.0	0.0
17	196	0.0	0.0	0.0	0.0
20	196	0.0	0.0	0.0	0.0
17	197	0.0	0.0	0.0	0.0
23	197	0.0	0.0	0.0	0.0
25	197	0.0	0.0	0.0	0.0
26	197	0.0	0.0	0.0	0.0
17	198	0.0	0.0	0.0	0.0
17	199	0.0	0.0	0.0	0.0
20	199	0.0	0.0	0.0	0.0
23	199	0.0	0.0	0.0	0.0
26	199	0.0	0.0	0.0	0.0
17	200	0.0	0.0	0.0	0.0
25	200	0.0	0.0	0.0	0.0
17	201	0.0	0.0	0.0	0.0
20	201	0.0	0.0	0.0	0.0
23	201	0.0	0.0	0.0	0.0
26	201	0.0	0.0	0.0	0.0
17	202	0.0	0.0	0.0	0.0
25	202	0.0	0.0	0.0	0.0
17	203	0.0	0.0	0.0	0.0
20	203	0.0	0.0	0.0	0.0
23	203	0.0	0.0	0.0	0.0
26	203	0.0	0.0	0.0	0.0
17	204	0.0	0.0	0.0	0.0
17	205	0.0	0.0	0.0	0.0
17	206	0.0	0.0	0.0	0.0
20	206	0.0	0.0	0.0	0.0
23	206	0.0	0.0	0.0	0.0
26	206	0.0	0.0	0.0	0.0
4	207	0.0	0.0	0.0	0.0
17	207	0.0	0.0	0.0	0.0
17	208	0.0	0.0	0.0	0.0
13	209	0.0	0.0	0.0	0.0
17	209	0.0	0.0	0.0	0.0
20	209	0.0	0.0	0.0	0.0
23	209	0.0	0.0	0.0	0.0
26	209	0.0	0.0	0.0	0.0
17	210	0.0	0.0	0.0	0.0
8	211	-0.0	0.0	0.0	0.0
17	211	0.0	0.0	0.0	0.0
20	211	0.0	0.0	0.0	0.0
23	211	0.0	0.0	0.0	0.0
26	211	0.0	0.0	0.0	0.0
8	212	0.0	0.0	0.0	0.0
17	212	0.0	0.0	0.0	0.0
8	213	0.0	0.0	0.0	0.0
17	213	0.0	0.0	0.0	0.0
17	214	0.0	0.0	0.0	0.0
20	214	0.0	0.0	0.0	0.0
23	214	0.0	0.0	0.0	0.0
26	214	0.0	0.0	0.0	0.0
17	215	0.0	0.0	0.0	0.0
25	215	0.0	0.0	0.0	0.0
17	216	0.0	0.0	0.0	0.0
20	216	0.0	0.0	0.0	0.0
23	216	0.0	0.0	0.0	0.0
26	216	0.0	0.0	0.0	0.0
13	217	0.0	0.0	0.0	0.0
17	217	0.0	0.0	0.0	0.0
17	218	0.0	0.0	0.0	0.0
20	218	0.0	0.0	0.0	0.0
23	218	0.0	0.0	0.0	0.0
26	218	0.0	0.0	0.0	0.0
17	219	0.0	0.0	0.0	0.0
17	220	0.0	0.0	0.0	0.0
4	221	0.0	0.0	0.0	0.0
17	221	0.0	0.0	0.0	0.0
26	221	0.0	0.0	0.0	0.0
4	222	0.0	0.0	0.0	0.0
17	222	0.0	0.0	0.0	0.0
20	222	0.0	0.0	0.0	0.0
23	222	0.0	0.0	0.0	0.0
4	223	0.0	0.0	0.0	0.0
17	223	0.0	0.0	0.0	0.0
17	224	0.0	0.0	0.0	0.0
20	224	0.0	0.0	0.0	0.0
23	224	0.0	0.0	0.0	0.0
26	224	0.0	0.0	0.0	0.0
17	225	0.0	0.0	0.0	0.0
17	226	0.0	0.0	0.0	0.0
17	227	0.0	0.0	0.0	0.0
20	227	0.0	0.0	0.0	0.0
23	227	0.0	0.0	0.0	0.0
26	227	0.0	0.0	0.0	0.0
17	228	0.0	0.0	0.0	0.0
17	229	0.0	0.0	0.0	0.0
17	230	0.0	0.0	0.0	0.0
20	230	0.0	0.0	0.0	0.0
23	230	0.0	0.0	0.0	0.0
26	230	0.0	0.0	0.0	0.0
17	231	0.0	0.0	0.0	0.0
4	232	0.0	0.0	0.0	0.0
17	232	0.0	0.0	0.0	0.0
20	232	0.0	0.0	0.0	0.0
23	232	0.0	0.0	0.0	0.0
26	232	0.0	0.0	0.0	0.0
17	233	0.0	0.0	0.0	0.0
17	234	0.0	0.0	0.0	0.0
23	234	0.0	0.0	0.0	0.0
13	235	0.0	0.0	0.0	0.0
17	235	0.0	0.0	0.0	0.0
20	235	0.0	0.0	0.0	0.0
26	235	0.0	0.0	0.0	0.0
17	236	0.0	0.0	0.0	0.0
13	237	0.0	0.0	0.0	0.0
17	237	0.0	0.0	0.0	0.0
23	237	0.0	0.0	0.0	0.0
26	237	0.0	0.0	0.0	0.0
17	238	0.0	0.0	0.0	0.0
20	238	0.0	0.0	0.0	0.0
13	239	0.0	0.0	0.0	0.0
17	239	0.0	0.0	0.0	0.0
13	240	0.0	0.0	0.0	0.0
17	240	0.0	0.0	0.0	0.0
20	240	0.0	0.0	0.0	0.0
23	240	0.0	0.0	0.0	0.0
26	240	0.0	0.0	0.0	0.0
17	241	0.0	0.0	0.0	0.0
17	242	0.0	0.0	0.0	0.0
17	243	0.0	0.0	0.0	0.0
19	243	0.0	0.0	0.0	0.0
22	243	0.0	0.0	0.0	0.0
17	244	0.0	0.0	0.0	0.0
17	245	0.0	0.0	0.0	0.0
19	245	0.0	0.0	0.0	0.0
22	245	0.0	0.0	0.0	0.0
17	246	0.0	0.0	0.0	0.0
17	247	0.0	0.0	0.0	0.0
17	248	0.0	0.0	0.0	0.0
19	248	0.0	0.0	0.0	0.0
22	248	0.0	0.0	0.0	0.0
17	249	0.0	0.0	0.0	0.0
25	249	0.0	0.0	0.0	0.0
17	250	0.0	0.0	0.0	0.0
4	251	0.0	0.0	0.0	0.0
17	251	0.0	0.0	0.0	0.0
19	251	0.0	0.0	0.0	0.0
22	251	0.0	0.0	0.0	0.0
17	252	0.0	0.0	0.0	0.0
17	253	0.0	0.0	0.0	0.0
19	253	0.0	0.0	0.0	0.0
22	253	0.0	0.0	0.0	0.0
25	253	0.0	0.0	0.0	0.0
17	254	0.0	0.0	0.0	0.0
17	255	0.0	0.0	0.0	0.0
19	255	0.0	0.0	0.0	0.0
22	255	0.0	0.0	0.0	0.0
17	256	0.0	0.0	0.0	0.0
25	256	0.0	0.0	0.0	0.0
17	257	0.0	0.0	0.0	0.0
13	258	0.0	0.0	0.0	0.0
17	258	0.0	0.0	0.0	0.0
8	259	0.0	0.0	0.0	0.0
17	259	0.0	0.0	0.0	0.0
19	259	0.0	0.0	0.0	0.0
25	259	0.0	0.0	0.0	0.0
8	260	-0.0	0.0	0.0	0.0
17	260	0.0	0.0	0.0	0.0
8	261	-0.0	0.0	0.0	0.0
17	261	0.0	0.0	0.0	0.0
8	262	-0.0	0.0	0.0	0.0
17	262	0.0	0.0	0.0	0.0
19	262	0.0	0.0	0.0	0.0
25	262	0.0	0.0	0.0	0.0
8	263	0.0	0.0	0.0	0.0
17	263	0.0	0.0	0.0	0.0
8	264	0.0	0.0	0.0	0.0
13	264	0.0	0.0	0.0	0.0
17	264	0.0	0.0	0.0	0.0
17	265	0.0	0.0	0.0	0.0
19	265	0.0	0.0	0.0	0.0
22	265	0.0	0.0	0.0	0.0
25	265	0.0	0.0	0.0	0.0
17	266	0.0	0.0	0.0	0.0
17	267	0.0	0.0	0.0	0.0
17	268	0.0	0.0	0.0	0.0
19	268	0.0	0.0	0.0	0.0
25	268	0.0	0.0	0.0	0.0
4	269	0.0	0.0	0.0	0.0
7	269	0.0	0.0	0.0	0.0
17	269	0.0	0.0	0.0	0.0
22	269	0.0	0.0	0.0	0.0
17	270	0.0	0.0	0.0	0.0
19	270	0.0	0.0	0.0	0.0
25	270	0.0	0.0	0.0	0.0
