wec_cost,power_lim,diameter,omega_n,zeta,electrification,carbon_constraint,year,system_cost,carbon,system_capacity,wave_capacity,solar_capacity,onshore_wind_capacity,offshore_wind_capacity,battery_capacity,fossil_capacity,solar_costs,onshore_wind_costs,offshore_wind_costs,battery_costs,fossil_costs,fossil_energy,wave_energy
500.0,400.0,20.0,0.6,0.05,ref,med,2030,2393041767.850409,7127769.87331611,33374.719446607705,8129.159727346249,3273.330393240403,0.0,0.0,0.0,0.0,[      0.    1128557.212],[      0.    2494105.867],[      0.    4005241.781],[     0.    198241.255],[      0.     960907.391 1047739.592 2576894.437],8883710.29364339,63298423.3841867
600.0,400.0,20.0,0.6,0.05,ref,med,2030,2557520065.800217,7529030.444700722,34633.92129037719,7338.207933199807,4291.200000000001,376.98209809462026,0.0,0.0,0.0,[      0.    1128557.212],[      0.    2494105.867],[      0.    4005241.781],[     0.    198241.255],[      0.     960907.391 1047739.592 2576894.437],9905506.891735394,57918781.553674616
400.0,400.0,20.0,0.7,0.05,ref,med,2030,,,,,,,,,,,,,,,,
500.0,400.0,20.0,0.7,0.05,ref,med,2030,2889863123.90167,12320130.36238881,49308.44525861088,0.0,14284.350750901416,7273.563212248346,0.0,482.15348539715,0.0,[      0.    1128557.212],[      0.    2494105.867],[      0.    4005241.781],[     0.    198241.255],[      0.     960907.391 1047739.592 2576894.437],20934903.342676636,0.0
600.0,400.0,20.0,0.7,0.05,ref,med,2030,,,,,,,,,,,,,,,,
400.0,400.0,20.0,0.5,0.15,ref,med,2030,2872598625.311186,11941556.175976986,48018.34282619678,2078.419943816946,12336.215563967891,6173.768645339516,0.0,125.06398189080747,0.0,[      0.    1128557.212],[      0.    2494105.867],[      0.    4005241.781],[     0.    198241.255],[      0.     960907.391 1047739.592 2576894.437],20106953.560085546,5937794.926533823
500.0,400.0,20.0,0.5,0.15,ref,med,2030,2889863123.901677,12320130.362388818,49308.44525861087,0.0,14284.350750901413,7273.563212248337,0.0,482.153485397137,0.0,[      0.    1128557.212],[      0.    2494105.867],[      0.    4005241.781],[     0.    198241.255],[      0.     960907.391 1047739.592 2576894.437],20934903.342676654,0.0
600.0,400.0,20.0,0.5,0.15,ref,med,2030,2889863123.901674,12320130.36238882,49308.44525861085,0.0,14284.350750901405,7273.563212248318,0.0,482.1534853971123,0.0,[      0.    1128557.212],[      0.    2494105.867],[      0.    4005241.781],[     0.    198241.255],[      0.     960907.391 1047739.592 2576894.437],20934903.342676673,0.0
400.0,400.0,20.0,0.6,0.15,ref,med,2030,2217500469.319524,6162604.346980141,32635.54522319063,9137.93898507762,2394.8301180145995,0.0,0.0,0.0,0.0,[      0.    1128557.212],[      0.    2494105.867],[      0.    4005241.781],[     0.    198241.255],[      0.     960907.391 1047739.592 2576894.437],6966215.42240767,70004104.52567743
500.0,400.0,20.0,0.6,0.15,ref,med,2030,2399811972.5717363,7127094.003024492,33586.313881472044,8128.506219645215,3491.7705671978597,0.0,0.0,0.0,0.0,[      0.    1128557.212],[      0.    2494105.867],[      0.    4005241.781],[     0.    198241.255],[      0.     960907.391 1047739.592 2576894.437],8883216.301854348,63763096.13609813
600.0,400.0,20.0,0.6,0.15,ref,med,2030,2565144325.84836,7524598.052294523,35012.02413155418,7189.1039395185535,4291.200000000001,788.6,0.0,0.0,0.0,[      0.    1128557.212],[      0.    2494105.867],[      0.    4005241.781],[     0.    198241.255],[      0.     960907.391 1047739.592 2576894.437],9889071.363702128,56026713.579137124
400.0,400.0,20.0,0.7,0.15,ref,med,2030,,,,,,,,,,,,,,,,
500.0,400.0,20.0,0.7,0.15,ref,med,2030,2889863123.9016743,12320130.362388818,49308.44525861085,0.0,14284.350750901409,7273.5632122483275,0.0,482.1534853971268,0.0,[      0.    1128557.212],[      0.    2494105.867],[      0.    4005241.781],[     0.    198241.255],[      0.     960907.391 1047739.592 2576894.437],20934903.34267667,0.0
600.0,400.0,20.0,0.7,0.15,ref,med,2030,,,,,,,,,,,,,,,,
400.0,400.0,20.0,0.5,0.25,ref,med,2030,,,,,,,,,,,,,,,,
500.0,400.0,20.0,0.5,0.25,ref,med,2030,2889863123.9016776,12320130.362388834,49308.44525861088,0.0,14284.350750901416,7273.563212248344,0.0,482.15348539714853,0.0,[      0.    1128557.212],[      0.    2494105.867],[      0.    4005241.781],[     0.    198241.255],[      0.     960907.391 1047739.592 2576894.437],20934903.342676662,0.0
600.0,400.0,20.0,0.5,0.25,ref,med,2030,,,,,,,,,,,,,,,,
400.0,400.0,20.0,0.6,0.25,ref,med,2030,,,,,,,,,,,,,,,,
500.0,400.0,20.0,0.6,0.25,ref,med,2030,2889863123.901672,12320130.362388814,49308.44525861087,0.0,14284.350750901409,7273.563212248329,0.0,482.1534853971263,0.0,[      0.    1128557.212],[      0.    2494105.867],[      0.    4005241.781],[     0.    198241.255],[      0.     960907.391 1047739.592 2576894.437],20934903.342676643,0.0
600.0,400.0,20.0,0.6,0.25,ref,med,2030,,,,,,,,,,,,,,,,
400.0,400.0,20.0,0.7,0.25,ref,med,2030,,,,,,,,,,,,,,,,
500.0,400.0,20.0,0.7,0.25,ref,med,2030,2889863123.9016743,12320130.36238882,49308.44525861085,0.0,14284.350750901409,7273.563212248331,0.0,482.15348539712767,0.0,[      0.    1128557.212],[      0.    2494105.867],[      0.    4005241.781],[     0.    198241.255],[      0.     960907.391 1047739.592 2576894.437],20934903.342676654,0.0
600.0,400.0,20.0,0.7,0.25,ref,med,2030,,,,,,,,,,,,,,,,
400.0,700.0,20.0,0.5,0.05,ref,med,2030,2889863123.901675,12320130.362388818,49308.44525861087,0.0,14284.350750901409,7273.563212248333,0.0,482.1534853971287,0.0,[      0.    1128557.212],[      0.    2494105.867],[      0.    4005241.781],[     0.    198241.255],[      0.     960907.391 1047739.592 2576894.437],20934903.342676662,0.0
500.0,700.0,20.0,0.5,0.05,ref,med,2030,2889863123.9016767,12320130.362388816,49308.44525861087,0.0,14284.350750901413,7273.563212248335,0.0,482.15348539712966,0.0,[      0.    1128557.212],[      0.    2494105.867],[      0.    4005241.781],[     0.    198241.255],[      0.     960907.391 1047739.592 2576894.437],20934903.342676654,0.0
600.0,700.0,20.0,0.5,0.05,ref,med,2030,2889863123.9016705,12320130.362388816,49308.44525861087,0.0,14284.350750901413,7273.563212248335,0.0,482.15348539712767,0.0,[      0.    1128557.212],[      0.    2494105.867],[      0.    4005241.781],[     0.    198241.255],[      0.     960907.391 1047739.592 2576894.437],20934903.342676654,0.0
400.0,700.0,20.0,0.6,0.05,ref,med,2030,2494422602.083546,8592213.865469707,37083.95588676228,9139.701814980372,4291.200000000001,350.4,0.0,0.0,0.0,[      0.    1128557.212],[      0.    2494105.867],[      0.    4005241.781],[     0.    198241.255],[      0.     960907.391 1047739.592 2576894.437],12707675.426422369,54536521.92107873
500.0,700.0,20.0,0.6,0.05,ref,med,2030,2673502631.915624,9824880.33277211,37644.20408664339,7945.557199085,4742.358137513861,926.1,0.0,0.0,0.0,[      0.    1128557.212],[      0.    2494105.867],[      0.    4005241.781],[     0.    198241.255],[      0.     960907.391 1047739.592 2576894.437],14579669.691414753,47715405.901846156
600.0,700.0,20.0,0.6,0.05,ref,med,2030,2812458102.1687512,11461121.741091495,41182.53365626431,4411.757003957483,7313.190900376161,3597.6377841616927,0.0,0.0,0.0,[      0.    1128557.212],[      0.    2494105.867],[      0.    4005241.781],[     0.    198241.255],[      0.     960907.391 1047739.592 2576894.437],18525815.53052151,26448997.93566881
400.0,700.0,20.0,0.7,0.05,ref,med,2030,,,,,,,,,,,,,,,,
500.0,700.0,20.0,0.7,0.05,ref,med,2030,2889863123.9016795,12320130.362388847,49308.44525861087,0.0,14284.350750901413,7273.563212248337,0.0,482.15348539713864,0.0,[      0.    1128557.212],[      0.    2494105.867],[      0.    4005241.781],[     0.    198241.255],[      0.     960907.391 1047739.592 2576894.437],20934903.342676677,0.0
600.0,700.0,20.0,0.7,0.05,ref,med,2030,,,,,,,,,,,,,,,,
400.0,700.0,20.0,0.5,0.15,ref,med,2030,2889863123.901675,12320130.362388806,49308.44525861088,0.0,14284.350750901416,7273.563212248344,0.0,482.1534853971458,0.0,[      0.    1128557.212],[      0.    2494105.867],[      0.    4005241.781],[     0.    198241.255],[      0.     960907.391 1047739.592 2576894.437],20934903.342676632,0.0
500.0,700.0,20.0,0.5,0.15,ref,med,2030,2889863123.9016724,12320130.362388816,49308.44525861085,0.0,14284.350750901405,7273.563212248317,0.0,482.1534853971117,0.0,[      0.    1128557.212],[      0.    2494105.867],[      0.    4005241.781],[     0.    198241.255],[      0.     960907.391 1047739.592 2576894.437],20934903.34267666,0.0
600.0,700.0,20.0,0.5,0.15,ref,med,2030,2889863123.901674,12320130.362388818,49308.44525861087,0.0,14284.350750901413,7273.563212248335,0.0,482.1534853971353,0.0,[      0.    1128557.212],[      0.    2494105.867],[      0.    4005241.781],[     0.    198241.255],[      0.     960907.391 1047739.592 2576894.437],20934903.342676654,0.0
400.0,700.0,20.0,0.6,0.15,ref,med,2030,2616017686.3301463,8952408.234278059,40255.61049476115,9116.301938930546,5054.085055086074,1190.3286679923465,0.0,0.0,0.0,[      0.    1128557.212],[      0.    2494105.867],[      0.    4005241.781],[     0.    198241.255],[      0.     960907.391 1047739.592 2576894.437],13115289.60151625,46597033.74270773
500.0,700.0,20.0,0.6,0.15,ref,med,2030,2753067044.115605,10362716.186794752,42830.73869585739,4871.895610235851,7790.753013782767,4302.773461878429,0.0,0.0,0.0,[      0.    1128557.212],[      0.    2494105.867],[      0.    4005241.781],[     0.    198241.255],[      0.     960907.391 1047739.592 2576894.437],15989360.92618031,25152170.330017697
600.0,700.0,20.0,0.6,0.15,ref,med,2030,2836662366.004557,11647658.400164654,44299.12909052312,3036.7304741895614,9712.188396674248,4834.036838762895,0.0,0.0,0.0,[      0.    1128557.212],[      0.    2494105.867],[      0.    4005241.781],[     0.    198241.255],[      0.     960907.391 1047739.592 2576894.437],19226656.814131252,15866762.567344554
400.0,700.0,20.0,0.7,0.15,ref,med,2030,,,,,,,,,,,,,,,,
500.0,700.0,20.0,0.7,0.15,ref,med,2030,2889863123.9016705,12320130.362388823,49308.44525861085,0.0,14284.350750901405,7273.563212248317,0.0,482.1534853971113,0.0,[      0.    1128557.212],[      0.    2494105.867],[      0.    4005241.781],[     0.    198241.255],[      0.     960907.391 1047739.592 2576894.437],20934903.342676677,0.0
600.0,700.0,20.0,0.7,0.15,ref,med,2030,,,,,,,,,,,,,,,,
400.0,700.0,20.0,0.5,0.25,ref,med,2030,,,,,,,,,,,,,,,,
500.0,700.0,20.0,0.5,0.25,ref,med,2030,2889863123.901673,12320130.362388805,49308.44525861087,0.0,14284.350750901413,7273.563212248337,0.0,482.15348539713716,0.0,[      0.    1128557.212],[      0.    2494105.867],[      0.    4005241.781],[     0.    198241.255],[      0.     960907.391 1047739.592 2576894.437],20934903.34267663,0.0
600.0,700.0,20.0,0.5,0.25,ref,med,2030,,,,,,,,,,,,,,,,
400.0,700.0,20.0,0.6,0.25,ref,med,2030,,,,,,,,,,,,,,,,
500.0,700.0,20.0,0.6,0.25,ref,med,2030,2889863123.9016747,12320130.36238882,49308.44525861088,0.0,14284.350750901416,7273.563212248342,0.0,482.15348539714756,0.0,[      0.    1128557.212],[      0.    2494105.867],[      0.    4005241.781],[     0.    198241.255],[      0.     960907.391 1047739.592 2576894.437],20934903.34267666,0.0
600.0,700.0,20.0,0.6,0.25,ref,med,2030,,,,,,,,,,,,,,,,
400.0,700.0,20.0,0.7,0.25,ref,med,2030,,,,,,,,,,,,,,,,
500.0,700.0,20.0,0.7,0.25,ref,med,2030,2889863123.901669,12320130.362388786,49308.44525861086,0.0,14284.350750901409,7273.5632122483275,0.0,482.153485397126,0.0,[      0.    1128557.212],[      0.    2494105.867],[      0.    4005241.781],[     0.    198241.255],[      0.     960907.391 1047739.592 2576894.437],20934903.342676587,0.0
600.0,700.0,20.0,0.7,0.25,ref,med,2030,,,,,,,,,,,,,,,,
400.0,1000.0,20.0,0.5,0.05,ref,med,2030,,,,,,,,,,,,,,,,
500.0,1000.0,20.0,0.5,0.05,ref,med,2030,2889863123.9016767,12320130.36238881,49308.4452586109,0.0,14284.350750901427,7273.563212248368,0.0,482.15348539717854,0.0,[      0.    1128557.212],[      0.    2494105.867],[      0.    4005241.781],[     0.    198241.255],[      0.     960907.391 1047739.592 2576894.437],20934903.34267664,0.0
600.0,1000.0,20.0,0.5,0.05,ref,med,2030,,,,,,,,,,,,,,,,
400.0,1000.0,20.0,0.6,0.05,ref,med,2030,,,,,,,,,,,,,,,,
500.0,1000.0,20.0,0.6,0.05,ref,med,2030,2889863123.901674,12320130.36238881,49308.4452586109,0.0,14284.350750901423,7273.56321224836,0.0,482.15348539716956,0.0,[      0.    1128557.212],[      0.    2494105.867],[      0.    4005241.781],[     0.    198241.255],[      0.     960907.391 1047739.592 2576894.437],20934903.342676636,0.0
600.0,1000.0,20.0,0.6,0.05,ref,med,2030,,,,,,,,,,,,,,,,
400.0,1000.0,20.0,0.7,0.05,ref,med,2030,,,,,,,,,,,,,,,,
500.0,1000.0,20.0,0.7,0.05,ref,med,2030,2889863123.901668,12320130.362388818,49308.44525861087,0.0,14284.350750901413,7273.563212248337,0.0,482.1534853971357,0.0,[      0.    1128557.212],[      0.    2494105.867],[      0.    4005241.781],[     0.    198241.255],[      0.     960907.391 1047739.592 2576894.437],20934903.342676654,0.0
600.0,1000.0,20.0,0.7,0.05,ref,med,2030,,,,,,,,,,,,,,,,
400.0,1000.0,20.0,0.5,0.15,ref,med,2030,,,,,,,,,,,,,,,,
